id,code,name,description,credits,school_id,created_at,updated_at
783918cf-4cd9-47bb-a3e0-755c4fcaaf86,CSE100,Introduction to Long,A foundational course in introduction to long offered by School of Computer Science and Engineering.,2,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
a0b1df3e-7acd-4a04-9f4f-5a9d4f3647ad,CSE101,Introduction to Mouth,A foundational course in introduction to mouth offered by School of Computer Science and Engineering.,4,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
5c46fd71-922f-48ea-ae6d-1c66976018f9,CSE102,Introduction to Point,A foundational course in introduction to point offered by School of Computer Science and Engineering.,4,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
e67f539a-8efb-4667-9b46-10a91e7a4f18,CSE103,Introduction to Law,A foundational course in introduction to law offered by School of Computer Science and Engineering.,4,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
ef429a13-a2f1-41de-ba5e-c574349f960b,CSE104,Introduction to Bit,A foundational course in introduction to bit offered by School of Computer Science and Engineering.,2,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
cfa6649b-a63f-4380-8575-ccdc872e6433,CSE105,Introduction to Student,A foundational course in introduction to student offered by School of Computer Science and Engineering.,4,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
dfcaa6ab-ef1d-43d4-bde8-98b6a08fe61e,CSE106,Introduction to Science,A foundational course in introduction to science offered by School of Computer Science and Engineering.,3,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
a6f0f9a3-1ca1-43fd-a686-51684afa0791,CSE107,Introduction to Building,A foundational course in introduction to building offered by School of Computer Science and Engineering.,2,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
bc6266c1-2319-4199-b150-19f2df46f987,CSE108,Introduction to Tonight,A foundational course in introduction to tonight offered by School of Computer Science and Engineering.,2,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
c9c74076-f4c1-4d09-bdac-2527818b66b8,CSE109,Introduction to Real,A foundational course in introduction to real offered by School of Computer Science and Engineering.,2,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
8c5d6e3b-d5d7-4664-bee5-6e59c3087f3f,CSE110,Introduction to Rather,A foundational course in introduction to rather offered by School of Computer Science and Engineering.,2,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
0df23172-6659-4d70-aadb-e56a64f79d05,CSE111,Introduction to Understand,A foundational course in introduction to understand offered by School of Computer Science and Engineering.,2,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
b70837d2-7944-4927-9b9f-f539d283fd2d,CSE112,Introduction to Specific,A foundational course in introduction to specific offered by School of Computer Science and Engineering.,4,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
9aceb0dd-e62e-4aaf-9850-3b75cbdbef5c,CSE113,Introduction to Ok,A foundational course in introduction to ok offered by School of Computer Science and Engineering.,4,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
0ced2570-fd49-4456-9c37-494630840302,CSE114,Introduction to Set,A foundational course in introduction to set offered by School of Computer Science and Engineering.,2,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
af8dd56b-5b31-42dd-ba42-dca838166229,CSE115,Introduction to Tree,A foundational course in introduction to tree offered by School of Computer Science and Engineering.,4,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
e51a8aab-abd4-4e21-a0fd-93f01c8f3b04,CSE116,Introduction to Dinner,A foundational course in introduction to dinner offered by School of Computer Science and Engineering.,2,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
8d2054f1-28dc-4aeb-b0ff-36c277755b6f,CSE117,Introduction to Law,A foundational course in introduction to law offered by School of Computer Science and Engineering.,4,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
73eed0a4-c863-4757-acf4-7b7fa6fabaf3,CSE118,Introduction to Live,A foundational course in introduction to live offered by School of Computer Science and Engineering.,4,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
d905cdd0-1896-426e-a18e-0aadb5ce0497,CSE119,Introduction to View,A foundational course in introduction to view offered by School of Computer Science and Engineering.,4,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
4494f1aa-d3ce-4397-9817-6bc19e85e672,CSE120,Introduction to Drive,A foundational course in introduction to drive offered by School of Computer Science and Engineering.,4,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
c534cb64-9f58-4055-90ba-a96e305020de,CSE121,Introduction to Job,A foundational course in introduction to job offered by School of Computer Science and Engineering.,3,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
a6ac7a90-ee2a-4675-bf88-dcaf1bec9ec3,CSE122,Introduction to Group,A foundational course in introduction to group offered by School of Computer Science and Engineering.,2,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
777ae1d7-05a8-4fdf-8db3-670ac4eb2c87,CSE123,Introduction to Their,A foundational course in introduction to their offered by School of Computer Science and Engineering.,3,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
c00cd444-5104-43d6-948a-f24297e9ea91,CSE124,Introduction to Long,A foundational course in introduction to long offered by School of Computer Science and Engineering.,4,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
77575492-caaa-412a-9916-8ef87b40d737,CSE125,Introduction to Inside,A foundational course in introduction to inside offered by School of Computer Science and Engineering.,3,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
b647d5c1-41a6-453a-ae3f-b6455fe04f37,CSE126,Introduction to Just,A foundational course in introduction to just offered by School of Computer Science and Engineering.,2,3b75eb77-7810-4225-91df-f88e7f03a544,2025-10-11 13:38:14,2025-10-11 13:38:14
